temperature	xi	s_xvi	wavelength	opacity
0.524608492851	3.14056229591	s_xvi	3.9908	8.06039e-15	
0.524608492851	3.18072295189	s_xvi	3.9908	1.01585e-14	
0.524608492851	3.22088360786	s_xvi	3.9908	1.26607e-14	
0.524608492851	3.26104426384	s_xvi	3.9908	1.56085e-14	
0.524608492851	3.30120491982	s_xvi	3.9908	1.90391e-14	
0.524608492851	3.34136557579	s_xvi	3.9908	2.2985e-14	
0.524608492851	3.38152599335	s_xvi	3.9908	2.74724e-14	
0.524608492851	3.42168664932	s_xvi	3.9908	3.25202e-14	
0.524608492851	3.4618473053	s_xvi	3.9908	3.8139e-14	
0.524608492851	3.50200796127	s_xvi	3.9908	4.43299e-14	
0.524608492851	3.54216861725	s_xvi	3.9908	5.10835e-14	
0.524608492851	3.58232927322	s_xvi	3.9908	5.83796e-14	
0.524608492851	3.6224899292	s_xvi	3.9908	6.61847e-14	
0.524608492851	3.66265058517	s_xvi	3.9908	7.44532e-14	
0.524608492851	3.70281124115	s_xvi	3.9908	8.3124e-14	
0.524608492851	3.74297189713	s_xvi	3.9908	9.21219e-14	
0.524608492851	3.7831325531	s_xvi	3.9908	1.01356e-13	
0.524608492851	3.82329320908	s_xvi	3.9908	1.10719e-13	
0.524608492851	3.86345386505	s_xvi	3.9908	1.20089e-13	
0.524608492851	3.90361452103	s_xvi	3.9908	1.29333e-13	
0.524608492851	3.943775177	s_xvi	3.9908	1.38305e-13	
0.524608492851	3.98393583298	s_xvi	3.9908	1.46851e-13	
0.524608492851	4.02409648895	s_xvi	3.9908	1.54818e-13	
0.524608492851	4.06425714493	s_xvi	3.9908	1.6205e-13	
0.524608492851	4.1044178009	s_xvi	3.9908	1.68405e-13	
0.524608492851	4.14457845688	s_xvi	3.9908	1.7376e-13	
0.524608492851	4.18473911285	s_xvi	3.9908	1.78e-13	
0.524608492851	4.22489976883	s_xvi	3.9908	1.81048e-13	
0.524608492851	4.2650604248	s_xvi	3.9908	1.82859e-13	
0.524608492851	4.30522108078	s_xvi	3.9908	1.83424e-13	
0.524608492851	4.34538173676	s_xvi	3.9908	1.82754e-13	
0.524608492851	4.38554239273	s_xvi	3.9908	1.80898e-13	
0.524608492851	4.42570304871	s_xvi	3.9908	1.77934e-13	
0.524608492851	4.46586322784	s_xvi	3.9908	1.73968e-13	
0.524608492851	4.50602388382	s_xvi	3.9908	1.69123e-13	
0.524608492851	4.54618453979	s_xvi	3.9908	1.63522e-13	
0.524608492851	4.58634519577	s_xvi	3.9908	1.57302e-13	
0.524608492851	4.62650585175	s_xvi	3.9908	1.50596e-13	
0.524608492851	4.66666650772	s_xvi	3.9908	1.43539e-13	
0.524608492851	4.7068271637	s_xvi	3.9908	1.36252e-13	
0.524608492851	4.74698781967	s_xvi	3.9908	1.28843e-13	
0.524608492851	4.78714847565	s_xvi	3.9908	1.21412e-13	
0.524608492851	4.82730913162	s_xvi	3.9908	1.14043e-13	
0.524608492851	4.8674697876	s_xvi	3.9908	1.06847e-13	
0.524608492851	4.90763044357	s_xvi	3.9908	9.97583e-14	
0.524608492851	4.94779109955	s_xvi	3.9908	9.29641e-14	
0.524608492851	4.98795175552	s_xvi	3.9908	8.64208e-14	
0.524608492851	5.0281124115	s_xvi	3.9908	8.01722e-14	
0.524608492851	5.06827306747	s_xvi	3.9908	7.42347e-14	
0.524608492851	5.10843372345	s_xvi	3.9908	6.86023e-14	
0.524608492851	5.14859437943	s_xvi	3.9908	6.33104e-14	
0.524608492851	5.1887550354	s_xvi	3.9908	5.83411e-14	
0.524608492851	5.22891569138	s_xvi	3.9908	5.36888e-14	
0.524608492851	5.26907634735	s_xvi	3.9908	4.93453e-14	
0.524608492851	5.30923700333	s_xvi	3.9908	4.52999e-14	
0.524608492851	5.3493976593	s_xvi	3.9908	4.15404e-14	
0.524608492851	5.38955831528	s_xvi	3.9908	3.80532e-14	
0.524608492851	5.42971897125	s_xvi	3.9908	3.48244e-14	
0.524608492851	5.46987962723	s_xvi	3.9908	3.18395e-14	
0.524608492851	5.5100402832	s_xvi	3.9908	2.9084e-14	
0.524608492851	5.55020093918	s_xvi	3.9908	2.6545e-14	
0.524608492851	5.59036159515	s_xvi	3.9908	2.42056e-14	
0.524608492851	5.63052225113	s_xvi	3.9908	2.20533e-14	
0.524608492851	5.6706829071	s_xvi	3.9908	2.0074e-14	
0.524608492851	5.71084356308	s_xvi	3.9908	1.8258e-14	
