temperature	xi	ne_viii	wavelength	opacity
0.524608492851	0.730923712254	ne_viii	780.324	1.53907e-11	
0.524608492851	0.771084308624	ne_viii	780.324	1.81487e-11	
0.524608492851	0.8112449646	ne_viii	780.324	2.13597e-11	
0.524608492851	0.851405620575	ne_viii	780.324	2.50858e-11	
0.524608492851	0.89156627655	ne_viii	780.324	2.93927e-11	
0.524608492851	0.931726932526	ne_viii	780.324	3.43491e-11	
0.524608492851	0.971887528896	ne_viii	780.324	4.00241e-11	
0.524608492851	1.01204824448	ne_viii	780.324	4.64842e-11	
0.524608492851	1.05220878124	ne_viii	780.324	5.37893e-11	
0.524608492851	1.09236943722	ne_viii	780.324	6.19875e-11	
0.524608492851	1.13253009319	ne_viii	780.324	7.11084e-11	
0.524608492851	1.17269074917	ne_viii	780.324	8.11561e-11	
0.524608492851	1.21285140514	ne_viii	780.324	9.21011e-11	
0.524608492851	1.25301206112	ne_viii	780.324	1.03873e-10	
0.524608492851	1.29317271709	ne_viii	780.324	1.16352e-10	
0.524608492851	1.33333337307	ne_viii	780.324	1.29368e-10	
0.524608492851	1.37349402905	ne_viii	780.324	1.42695e-10	
0.524608492851	1.41365456581	ne_viii	780.324	1.56061e-10	
0.524608492851	1.45381522179	ne_viii	780.324	1.69151e-10	
0.524608492851	1.49397587776	ne_viii	780.324	1.81626e-10	
0.524608492851	1.53413653374	ne_viii	780.324	1.93141e-10	
0.524608492851	1.57429718971	ne_viii	780.324	2.03366e-10	
0.524608492851	1.61445784569	ne_viii	780.324	2.1201e-10	
0.524608492851	1.65461850166	ne_viii	780.324	2.18836e-10	
0.524608492851	1.69477915764	ne_viii	780.324	2.23679e-10	
0.524608492851	1.73493981361	ne_viii	780.324	2.26452e-10	
0.524608492851	1.77510035038	ne_viii	780.324	2.27147e-10	
0.524608492851	1.81526100636	ne_viii	780.324	2.25825e-10	
0.524608492851	1.85542166233	ne_viii	780.324	2.22613e-10	
0.524608492851	1.89558231831	ne_viii	780.324	2.17682e-10	
0.524608492851	1.93574297428	ne_viii	780.324	2.11238e-10	
0.524608492851	1.97590363026	ne_viii	780.324	2.03509e-10	
0.524608492851	2.01606416702	ne_viii	780.324	1.94725e-10	
0.524608492851	2.056224823	ne_viii	780.324	1.85117e-10	
0.524608492851	2.09638547897	ne_viii	780.324	1.74901e-10	
0.524608492851	2.13654613495	ne_viii	780.324	1.6428e-10	
0.524608492851	2.17670679092	ne_viii	780.324	1.53436e-10	
0.524608492851	2.2168674469	ne_viii	780.324	1.42528e-10	
0.524608492851	2.25702810287	ne_viii	780.324	1.31695e-10	
0.524608492851	2.29718875885	ne_viii	780.324	1.21054e-10	
0.524608492851	2.33734941483	ne_viii	780.324	1.10703e-10	
0.524608492851	2.3775100708	ne_viii	780.324	1.00721e-10	
0.524608492851	2.41767072678	ne_viii	780.324	9.11715e-11	
0.524608492851	2.45783138275	ne_viii	780.324	8.21013e-11	
0.524608492851	2.49799203873	ne_viii	780.324	7.35464e-11	
0.524608492851	2.5381526947	ne_viii	780.324	6.55306e-11	
0.524608492851	2.57831335068	ne_viii	780.324	5.80685e-11	
0.524608492851	2.61847400665	ne_viii	780.324	5.11662e-11	
0.524608492851	2.65863442421	ne_viii	780.324	4.48226e-11	
0.524608492851	2.69879508018	ne_viii	780.324	3.90302e-11	
0.524608492851	2.73895573616	ne_viii	780.324	3.37764e-11	
0.524608492851	2.77911639214	ne_viii	780.324	2.90437e-11	
0.524608492851	2.81927704811	ne_viii	780.324	2.48106e-11	
0.524608492851	2.85943770409	ne_viii	780.324	2.10522e-11	
0.524608492851	2.89959836006	ne_viii	780.324	1.77404e-11	
0.524608492851	2.93975901604	ne_viii	780.324	1.48452e-11	
0.524608492851	2.97991967201	ne_viii	780.324	1.23345e-11	
0.524608492851	3.02008032799	ne_viii	780.324	1.01752e-11	
0.524608492851	3.06024098396	ne_viii	780.324	8.33368e-12	
0.524608492851	3.10040163994	ne_viii	780.324	6.77657e-12	
0.524608492851	3.14056229591	ne_viii	780.324	5.47128e-12	
0.524608492851	3.18072295189	ne_viii	780.324	4.38587e-12	
0.524608492851	3.22088360786	ne_viii	780.324	3.49284e-12	
0.524608492851	3.26104426384	ne_viii	780.324	2.76123e-12	
0.524608492851	3.30120491982	ne_viii	780.324	2.16878e-12	
0.524608492851	3.34136557579	ne_viii	780.324	1.69229e-12	
0.524608492851	3.38152599335	ne_viii	780.324	1.31244e-12	
0.524608492851	3.42168664932	ne_viii	780.324	1.01161e-12	
0.524608492851	3.4618473053	ne_viii	780.324	7.75578e-13	
0.524608492851	3.50200796127	ne_viii	780.324	5.90807e-13	
0.524608492851	3.54216861725	ne_viii	780.324	4.47702e-13	
0.524608492851	3.58232927322	ne_viii	780.324	3.3747e-13	
0.524608492851	3.6224899292	ne_viii	780.324	2.5297e-13	
0.524608492851	3.66265058517	ne_viii	780.324	1.88778e-13	
0.524608492851	3.70281124115	ne_viii	780.324	1.40209e-13	
0.524608492851	3.74297189713	ne_viii	780.324	1.03719e-13	
0.524608492851	3.7831325531	ne_viii	780.324	7.62907e-14	
0.524608492851	3.82329320908	ne_viii	780.324	5.60001e-14	
0.524608492851	3.86345386505	ne_viii	780.324	4.08809e-14	
0.524608492851	3.90361452103	ne_viii	780.324	2.97252e-14	
0.524608492851	3.943775177	ne_viii	780.324	2.15306e-14	
0.524608492851	3.98393583298	ne_viii	780.324	1.5537e-14	
0.524608492851	4.02409648895	ne_viii	780.324	1.11714e-14	
0.524608492851	4.06425714493	ne_viii	780.324	8.00427e-15	
0.524608492851	4.1044178009	ne_viii	780.324	5.71554e-15	
0.524608492851	4.14457845688	ne_viii	780.324	4.06775e-15	
0.524608492851	4.18473911285	ne_viii	780.324	2.8857e-15	
0.524608492851	4.22489976883	ne_viii	780.324	2.04073e-15	
0.524608492851	4.2650604248	ne_viii	780.324	1.43876e-15	
0.524608492851	4.30522108078	ne_viii	780.324	1.00927e-15	
0.524608492851	4.34538173676	ne_viii	780.324	7.07458e-16	
0.524608492851	4.38554239273	ne_viii	780.324	4.94869e-16	
0.524608492851	4.42570304871	ne_viii	780.324	3.44964e-16	
0.524608492851	4.46586322784	ne_viii	780.324	2.39811e-16	
0.524608492851	4.50602388382	ne_viii	780.324	1.66259e-16	
0.524608492851	4.54618453979	ne_viii	780.324	1.15219e-16	
0.524608492851	4.58634519577	ne_viii	780.324	7.93691e-17	
