temperature	xi	ar_xviii	wavelength	opacity
0.5	7.5180721283	ar_xviii	3.7311	1.34054e-16	
0.5	7.55823278427	ar_xviii	3.7311	1.13344e-16	
0.5	7.59839344025	ar_xviii	3.7311	9.5733e-17	
0.5	7.63855409622	ar_xviii	3.7311	8.07797e-17	
0.5	7.6787147522	ar_xviii	3.7311	6.81932e-17	
0.5	7.71887540817	ar_xviii	3.7311	5.74486e-17	
0.5	7.75903606415	ar_xviii	3.7311	4.83645e-17	
0.5	7.79919672012	ar_xviii	3.7311	4.06364e-17	
0.5	7.8393573761	ar_xviii	3.7311	3.41704e-17	
0.5	7.87951803207	ar_xviii	3.7311	2.87592e-17	
0.5	7.91967868805	ar_xviii	3.7311	2.41628e-17	
0.5	7.95983934402	ar_xviii	3.7311	2.02669e-17	
0.5	8.0	ar_xviii	3.7311	1.70183e-17	
0.524608492851	-2.0	ar_xviii	3.7311	0.0	
0.524608492851	-1.95983934402	ar_xviii	3.7311	0.0	
0.524608492851	-1.91967868805	ar_xviii	3.7311	0.0	
0.524608492851	-1.87951803207	ar_xviii	3.7311	0.0	
0.524608492851	-1.8393573761	ar_xviii	3.7311	0.0	
0.524608492851	-1.79919683933	ar_xviii	3.7311	0.0	
0.524608492851	-1.75903618336	ar_xviii	3.7311	0.0	
0.524608492851	-1.71887552738	ar_xviii	3.7311	0.0	
0.524608492851	-1.67871487141	ar_xviii	3.7311	0.0	
0.524608492851	-1.63855421543	ar_xviii	3.7311	0.0	
0.524608492851	-1.59839355946	ar_xviii	3.7311	0.0	
0.524608492851	-1.55823290348	ar_xviii	3.7311	0.0	
0.524608492851	-1.51807224751	ar_xviii	3.7311	0.0	
0.524608492851	-1.47791159153	ar_xviii	3.7311	0.0	
0.524608492851	-1.43775105476	ar_xviii	3.7311	0.0	
0.524608492851	-1.39759039879	ar_xviii	3.7311	0.0	
0.524608492851	-1.35742974281	ar_xviii	3.7311	0.0	
0.524608492851	-1.31726908684	ar_xviii	3.7311	0.0	
0.524608492851	-1.27710843086	ar_xviii	3.7311	0.0	
0.524608492851	-1.23694777489	ar_xviii	3.7311	0.0	
