temperature	xi	si_iii	wavelength	opacity
0.524608492851	4.78714847565	si_iii	1206.5	0.0	
0.524608492851	4.82730913162	si_iii	1206.5	0.0	
0.524608492851	4.8674697876	si_iii	1206.5	0.0	
0.524608492851	4.90763044357	si_iii	1206.5	0.0	
0.524608492851	4.94779109955	si_iii	1206.5	0.0	
0.524608492851	4.98795175552	si_iii	1206.5	0.0	
0.524608492851	5.0281124115	si_iii	1206.5	0.0	
0.524608492851	5.06827306747	si_iii	1206.5	0.0	
0.524608492851	5.10843372345	si_iii	1206.5	0.0	
0.524608492851	5.14859437943	si_iii	1206.5	0.0	
0.524608492851	5.1887550354	si_iii	1206.5	0.0	
0.524608492851	5.22891569138	si_iii	1206.5	0.0	
0.524608492851	5.26907634735	si_iii	1206.5	0.0	
0.524608492851	5.30923700333	si_iii	1206.5	0.0	
0.524608492851	5.3493976593	si_iii	1206.5	0.0	
0.524608492851	5.38955831528	si_iii	1206.5	0.0	
0.524608492851	5.42971897125	si_iii	1206.5	0.0	
0.524608492851	5.46987962723	si_iii	1206.5	0.0	
0.524608492851	5.5100402832	si_iii	1206.5	0.0	
0.524608492851	5.55020093918	si_iii	1206.5	0.0	
0.524608492851	5.59036159515	si_iii	1206.5	0.0	
0.524608492851	5.63052225113	si_iii	1206.5	0.0	
0.524608492851	5.6706829071	si_iii	1206.5	0.0	
0.524608492851	5.71084356308	si_iii	1206.5	0.0	
0.524608492851	5.75100421906	si_iii	1206.5	0.0	
0.524608492851	5.79116487503	si_iii	1206.5	0.0	
0.524608492851	5.83132553101	si_iii	1206.5	0.0	
0.524608492851	5.87148571014	si_iii	1206.5	0.0	
0.524608492851	5.91164636612	si_iii	1206.5	0.0	
0.524608492851	5.95180702209	si_iii	1206.5	0.0	
0.524608492851	5.99196767807	si_iii	1206.5	0.0	
0.524608492851	6.03212833405	si_iii	1206.5	0.0	
0.524608492851	6.07228899002	si_iii	1206.5	0.0	
0.524608492851	6.112449646	si_iii	1206.5	0.0	
0.524608492851	6.15261030197	si_iii	1206.5	0.0	
0.524608492851	6.19277095795	si_iii	1206.5	0.0	
0.524608492851	6.23293161392	si_iii	1206.5	0.0	
0.524608492851	6.2730922699	si_iii	1206.5	0.0	
0.524608492851	6.31325292587	si_iii	1206.5	0.0	
0.524608492851	6.35341358185	si_iii	1206.5	0.0	
0.524608492851	6.39357423782	si_iii	1206.5	0.0	
0.524608492851	6.4337348938	si_iii	1206.5	0.0	
0.524608492851	6.47389554977	si_iii	1206.5	0.0	
0.524608492851	6.51405620575	si_iii	1206.5	0.0	
0.524608492851	6.55421686172	si_iii	1206.5	0.0	
0.524608492851	6.5943775177	si_iii	1206.5	0.0	
0.524608492851	6.63453817368	si_iii	1206.5	0.0	
0.524608492851	6.67469882965	si_iii	1206.5	0.0	
0.524608492851	6.71485948563	si_iii	1206.5	0.0	
0.524608492851	6.7550201416	si_iii	1206.5	0.0	
0.524608492851	6.79518079758	si_iii	1206.5	0.0	
0.524608492851	6.83534145355	si_iii	1206.5	0.0	
0.524608492851	6.87550210953	si_iii	1206.5	0.0	
0.524608492851	6.9156627655	si_iii	1206.5	0.0	
0.524608492851	6.95582342148	si_iii	1206.5	0.0	
