temperature	xi	mg_ii	wavelength	opacity
0.524608492851	1.85542166233	mg_ii	2798.75	0.0	
0.524608492851	1.89558231831	mg_ii	2798.75	0.0	
0.524608492851	1.93574297428	mg_ii	2798.75	0.0	
0.524608492851	1.97590363026	mg_ii	2798.75	0.0	
0.524608492851	2.01606416702	mg_ii	2798.75	0.0	
0.524608492851	2.056224823	mg_ii	2798.75	0.0	
0.524608492851	2.09638547897	mg_ii	2798.75	0.0	
0.524608492851	2.13654613495	mg_ii	2798.75	0.0	
0.524608492851	2.17670679092	mg_ii	2798.75	0.0	
0.524608492851	2.2168674469	mg_ii	2798.75	0.0	
0.524608492851	2.25702810287	mg_ii	2798.75	0.0	
0.524608492851	2.29718875885	mg_ii	2798.75	0.0	
0.524608492851	2.33734941483	mg_ii	2798.75	0.0	
0.524608492851	2.3775100708	mg_ii	2798.75	0.0	
0.524608492851	2.41767072678	mg_ii	2798.75	0.0	
0.524608492851	2.45783138275	mg_ii	2798.75	0.0	
0.524608492851	2.49799203873	mg_ii	2798.75	0.0	
0.524608492851	2.5381526947	mg_ii	2798.75	0.0	
0.524608492851	2.57831335068	mg_ii	2798.75	0.0	
0.524608492851	2.61847400665	mg_ii	2798.75	0.0	
0.524608492851	2.65863442421	mg_ii	2798.75	0.0	
0.524608492851	2.69879508018	mg_ii	2798.75	0.0	
0.524608492851	2.73895573616	mg_ii	2798.75	0.0	
0.524608492851	2.77911639214	mg_ii	2798.75	0.0	
0.524608492851	2.81927704811	mg_ii	2798.75	0.0	
0.524608492851	2.85943770409	mg_ii	2798.75	0.0	
0.524608492851	2.89959836006	mg_ii	2798.75	0.0	
0.524608492851	2.93975901604	mg_ii	2798.75	0.0	
0.524608492851	2.97991967201	mg_ii	2798.75	0.0	
0.524608492851	3.02008032799	mg_ii	2798.75	0.0	
0.524608492851	3.06024098396	mg_ii	2798.75	0.0	
0.524608492851	3.10040163994	mg_ii	2798.75	0.0	
0.524608492851	3.14056229591	mg_ii	2798.75	0.0	
0.524608492851	3.18072295189	mg_ii	2798.75	0.0	
0.524608492851	3.22088360786	mg_ii	2798.75	0.0	
0.524608492851	3.26104426384	mg_ii	2798.75	0.0	
0.524608492851	3.30120491982	mg_ii	2798.75	0.0	
0.524608492851	3.34136557579	mg_ii	2798.75	0.0	
0.524608492851	3.38152599335	mg_ii	2798.75	0.0	
0.524608492851	3.42168664932	mg_ii	2798.75	0.0	
0.524608492851	3.4618473053	mg_ii	2798.75	0.0	
0.524608492851	3.50200796127	mg_ii	2798.75	0.0	
0.524608492851	3.54216861725	mg_ii	2798.75	0.0	
0.524608492851	3.58232927322	mg_ii	2798.75	0.0	
0.524608492851	3.6224899292	mg_ii	2798.75	0.0	
0.524608492851	3.66265058517	mg_ii	2798.75	0.0	
0.524608492851	3.70281124115	mg_ii	2798.75	0.0	
0.524608492851	3.74297189713	mg_ii	2798.75	0.0	
0.524608492851	3.7831325531	mg_ii	2798.75	0.0	
0.524608492851	3.82329320908	mg_ii	2798.75	0.0	
0.524608492851	3.86345386505	mg_ii	2798.75	0.0	
0.524608492851	3.90361452103	mg_ii	2798.75	0.0	
0.524608492851	3.943775177	mg_ii	2798.75	0.0	
0.524608492851	3.98393583298	mg_ii	2798.75	0.0	
0.524608492851	4.02409648895	mg_ii	2798.75	0.0	
0.524608492851	4.06425714493	mg_ii	2798.75	0.0	
0.524608492851	4.1044178009	mg_ii	2798.75	0.0	
0.524608492851	4.14457845688	mg_ii	2798.75	0.0	
0.524608492851	4.18473911285	mg_ii	2798.75	0.0	
0.524608492851	4.22489976883	mg_ii	2798.75	0.0	
0.524608492851	4.2650604248	mg_ii	2798.75	0.0	
0.524608492851	4.30522108078	mg_ii	2798.75	0.0	
0.524608492851	4.34538173676	mg_ii	2798.75	0.0	
0.524608492851	4.38554239273	mg_ii	2798.75	0.0	
0.524608492851	4.42570304871	mg_ii	2798.75	0.0	
0.524608492851	4.46586322784	mg_ii	2798.75	0.0	
0.524608492851	4.50602388382	mg_ii	2798.75	0.0	
0.524608492851	4.54618453979	mg_ii	2798.75	0.0	
0.524608492851	4.58634519577	mg_ii	2798.75	0.0	
0.524608492851	4.62650585175	mg_ii	2798.75	0.0	
0.524608492851	4.66666650772	mg_ii	2798.75	0.0	
0.524608492851	4.7068271637	mg_ii	2798.75	0.0	
0.524608492851	4.74698781967	mg_ii	2798.75	0.0	
0.524608492851	4.78714847565	mg_ii	2798.75	0.0	
0.524608492851	4.82730913162	mg_ii	2798.75	0.0	
0.524608492851	4.8674697876	mg_ii	2798.75	0.0	
0.524608492851	4.90763044357	mg_ii	2798.75	0.0	
0.524608492851	4.94779109955	mg_ii	2798.75	0.0	
0.524608492851	4.98795175552	mg_ii	2798.75	0.0	
0.524608492851	5.0281124115	mg_ii	2798.75	0.0	
0.524608492851	5.06827306747	mg_ii	2798.75	0.0	
0.524608492851	5.10843372345	mg_ii	2798.75	0.0	
0.524608492851	5.14859437943	mg_ii	2798.75	0.0	
0.524608492851	5.1887550354	mg_ii	2798.75	0.0	
0.524608492851	5.22891569138	mg_ii	2798.75	0.0	
0.524608492851	5.26907634735	mg_ii	2798.75	0.0	
0.524608492851	5.30923700333	mg_ii	2798.75	0.0	
0.524608492851	5.3493976593	mg_ii	2798.75	0.0	
0.524608492851	5.38955831528	mg_ii	2798.75	0.0	
0.524608492851	5.42971897125	mg_ii	2798.75	0.0	
0.524608492851	5.46987962723	mg_ii	2798.75	0.0	
0.524608492851	5.5100402832	mg_ii	2798.75	0.0	
