temperature	xi	s_iv	wavelength	opacity
0.524608492851	1.13253009319	s_iv	1062.66	5.08875e-16	
0.524608492851	1.17269074917	s_iv	1062.66	3.51995e-16	
0.524608492851	1.21285140514	s_iv	1062.66	2.42418e-16	
0.524608492851	1.25301206112	s_iv	1062.66	1.66192e-16	
0.524608492851	1.29317271709	s_iv	1062.66	1.1339e-16	
0.524608492851	1.33333337307	s_iv	1062.66	7.69759e-17	
0.524608492851	1.37349402905	s_iv	1062.66	5.19787e-17	
0.524608492851	1.41365456581	s_iv	1062.66	3.49024e-17	
0.524608492851	1.45381522179	s_iv	1062.66	2.32971e-17	
0.524608492851	1.49397587776	s_iv	1062.66	1.54529e-17	
0.524608492851	1.53413653374	s_iv	1062.66	1.01814e-17	
0.524608492851	1.57429718971	s_iv	1062.66	6.6613e-18	
0.524608492851	1.61445784569	s_iv	1062.66	4.32603e-18	
0.524608492851	1.65461850166	s_iv	1062.66	2.78766e-18	
0.524608492851	1.69477915764	s_iv	1062.66	1.78181e-18	
0.524608492851	1.73493981361	s_iv	1062.66	1.12931e-18	
0.524608492851	1.77510035038	s_iv	1062.66	7.09548e-19	
0.524608492851	1.81526100636	s_iv	1062.66	4.41834e-19	
0.524608492851	1.85542166233	s_iv	1062.66	2.72627e-19	
0.524608492851	1.89558231831	s_iv	1062.66	1.66668e-19	
0.524608492851	1.93574297428	s_iv	1062.66	1.00943e-19	
0.524608492851	1.97590363026	s_iv	1062.66	6.05659e-20	
0.524608492851	2.01606416702	s_iv	1062.66	3.60009e-20	
0.524608492851	2.056224823	s_iv	1062.66	2.12005e-20	
0.524608492851	2.09638547897	s_iv	1062.66	0.0	
0.524608492851	2.13654613495	s_iv	1062.66	0.0	
0.524608492851	2.17670679092	s_iv	1062.66	0.0	
0.524608492851	2.2168674469	s_iv	1062.66	0.0	
0.524608492851	2.25702810287	s_iv	1062.66	0.0	
0.524608492851	2.29718875885	s_iv	1062.66	0.0	
0.524608492851	2.33734941483	s_iv	1062.66	0.0	
0.524608492851	2.3775100708	s_iv	1062.66	0.0	
0.524608492851	2.41767072678	s_iv	1062.66	0.0	
0.524608492851	2.45783138275	s_iv	1062.66	0.0	
0.524608492851	2.49799203873	s_iv	1062.66	0.0	
0.524608492851	2.5381526947	s_iv	1062.66	0.0	
0.524608492851	2.57831335068	s_iv	1062.66	0.0	
0.524608492851	2.61847400665	s_iv	1062.66	0.0	
0.524608492851	2.65863442421	s_iv	1062.66	0.0	
0.524608492851	2.69879508018	s_iv	1062.66	0.0	
0.524608492851	2.73895573616	s_iv	1062.66	0.0	
0.524608492851	2.77911639214	s_iv	1062.66	0.0	
0.524608492851	2.81927704811	s_iv	1062.66	0.0	
0.524608492851	2.85943770409	s_iv	1062.66	0.0	
0.524608492851	2.89959836006	s_iv	1062.66	0.0	
0.524608492851	2.93975901604	s_iv	1062.66	0.0	
0.524608492851	2.97991967201	s_iv	1062.66	0.0	
0.524608492851	3.02008032799	s_iv	1062.66	0.0	
0.524608492851	3.06024098396	s_iv	1062.66	0.0	
0.524608492851	3.10040163994	s_iv	1062.66	0.0	
0.524608492851	3.14056229591	s_iv	1062.66	0.0	
0.524608492851	3.18072295189	s_iv	1062.66	0.0	
0.524608492851	3.22088360786	s_iv	1062.66	0.0	
0.524608492851	3.26104426384	s_iv	1062.66	0.0	
0.524608492851	3.30120491982	s_iv	1062.66	0.0	
0.524608492851	3.34136557579	s_iv	1062.66	0.0	
0.524608492851	3.38152599335	s_iv	1062.66	0.0	
0.524608492851	3.42168664932	s_iv	1062.66	0.0	
0.524608492851	3.4618473053	s_iv	1062.66	0.0	
0.524608492851	3.50200796127	s_iv	1062.66	0.0	
0.524608492851	3.54216861725	s_iv	1062.66	0.0	
0.524608492851	3.58232927322	s_iv	1062.66	0.0	
0.524608492851	3.6224899292	s_iv	1062.66	0.0	
0.524608492851	3.66265058517	s_iv	1062.66	0.0	
0.524608492851	3.70281124115	s_iv	1062.66	0.0	
0.524608492851	3.74297189713	s_iv	1062.66	0.0	
0.524608492851	3.7831325531	s_iv	1062.66	0.0	
0.524608492851	3.82329320908	s_iv	1062.66	0.0	
0.524608492851	3.86345386505	s_iv	1062.66	0.0	
0.524608492851	3.90361452103	s_iv	1062.66	0.0	
0.524608492851	3.943775177	s_iv	1062.66	0.0	
0.524608492851	3.98393583298	s_iv	1062.66	0.0	
0.524608492851	4.02409648895	s_iv	1062.66	0.0	
0.524608492851	4.06425714493	s_iv	1062.66	0.0	
