# Athena++ data at time=6.210000e+12  cycle=517210469  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
224 1.46598e+18 5.15358e-20 1.3607e-06 873798 0.340008 0 
225 1.46802e+18 5.12814e-20 1.35603e-06 875670 0.340662 0 
226 1.47006e+18 5.10285e-20 1.3514e-06 877551 0.341314 0 
227 1.47209e+18 5.07775e-20 1.3468e-06 879428 0.341963 0 
228 1.47413e+18 5.05284e-20 1.34223e-06 881300 0.34261 0 
229 1.47617e+18 5.02811e-20 1.33771e-06 883168 0.343254 0 
230 1.47821e+18 5.00357e-20 1.33321e-06 885032 0.343896 0 
231 1.48024e+18 4.97921e-20 1.32875e-06 886893 0.344536 0 
232 1.48228e+18 4.95503e-20 1.32432e-06 888750 0.345173 0 
233 1.48432e+18 4.93103e-20 1.31993e-06 890604 0.345807 0 
234 1.48636e+18 4.9072e-20 1.31557e-06 892454 0.34644 0 
235 1.48839e+18 4.88355e-20 1.31124e-06 894301 0.34707 0 
236 1.49043e+18 4.86007e-20 1.30695e-06 896145 0.347698 0 
237 1.49247e+18 4.83675e-20 1.30268e-06 897986 0.348324 0 
238 1.49451e+18 4.81361e-20 1.29845e-06 899824 0.348947 0 
239 1.49654e+18 4.79062e-20 1.29425e-06 901661 0.349568 0 
240 1.49858e+18 4.76778e-20 1.29008e-06 903503 0.350187 0 
241 1.50062e+18 4.74506e-20 1.28593e-06 905365 0.350804 0 
242 1.50266e+18 4.72089e-20 1.28183e-06 907459 0.351418 0 
243 1.50469e+18 4.69564e-20 1.27773e-06 909853 0.35203 0 
244 1.50673e+18 4.67023e-20 1.27365e-06 912315 0.352641 0 
245 1.50877e+18 4.64493e-20 1.26961e-06 914786 0.353249 0 
246 1.51081e+18 4.61969e-20 1.26561e-06 917277 0.353854 0 
247 1.51284e+18 4.59447e-20 1.26163e-06 919802 0.354458 0 
248 1.51488e+18 4.56923e-20 1.25768e-06 922371 0.35506 0 
249 1.51692e+18 4.54392e-20 1.25377e-06 924990 0.355659 0 
250 1.51896e+18 4.51853e-20 1.24988e-06 927667 0.356257 0 
251 1.52099e+18 4.49301e-20 1.24602e-06 930413 0.356852 0 
252 1.52303e+18 4.4673e-20 1.24219e-06 933238 0.357445 0 
253 1.52507e+18 4.44135e-20 1.23838e-06 936160 0.358036 0 
254 1.52711e+18 4.41506e-20 1.2346e-06 939200 0.358625 0 
255 1.52914e+18 4.3883e-20 1.23085e-06 942388 0.359212 0 
256 1.53118e+18 4.3609e-20 1.22712e-06 945768 0.359798 0 
257 1.53322e+18 4.33258e-20 1.22341e-06 949411 0.360381 0 
258 1.53526e+18 4.30284e-20 1.21971e-06 953448 0.360962 0 
259 1.53729e+18 4.27061e-20 1.21601e-06 958140 0.361541 0 
260 1.53933e+18 4.23362e-20 1.21227e-06 964213 0.362118 0 
261 1.54137e+18 4.18612e-20 1.20823e-06 973031 0.362692 0 
262 1.54341e+18 3.93549e-20 1.20511e-06 1.02662e+06 0.363265 0 
263 1.54544e+18 3.08517e-20 1.19936e-06 1.29168e+06 0.363837 0 
264 1.54748e+18 2.08917e-20 1.17189e-06 1.93515e+06 0.364394 0 
265 1.54952e+18 1.55026e-20 1.13248e-06 2.6395e+06 0.364919 0 
266 1.55156e+18 1.28732e-20 1.10975e-06 3.14872e+06 0.365421 0 
267 1.55359e+18 1.13543e-20 1.0929e-06 3.54514e+06 0.365907 0 
268 1.55563e+18 1.03436e-20 1.07898e-06 3.87346e+06 0.366381 0 
269 1.55767e+18 9.60189e-21 1.06695e-06 4.15746e+06 0.366844 0 
270 1.55971e+18 9.02322e-21 1.05617e-06 4.41028e+06 0.367299 0 
271 1.56174e+18 8.55486e-21 1.04638e-06 4.6387e+06 0.367746 0 
272 1.56378e+18 8.159e-21 1.03743e-06 4.84972e+06 0.368186 0 
273 1.56582e+18 7.81583e-21 1.02894e-06 5.04897e+06 0.368619 0 
274 1.56786e+18 7.51467e-21 1.02091e-06 5.23736e+06 0.369046 0 
275 1.56989e+18 7.24627e-21 1.01329e-06 5.41687e+06 0.369468 0 
276 1.57193e+18 7.00437e-21 1.00598e-06 5.58923e+06 0.369884 0 
277 1.57397e+18 6.78414e-21 9.98955e-07 5.75547e+06 0.370295 0 
278 1.57601e+18 6.58225e-21 9.92158e-07 5.91653e+06 0.370701 0 
279 1.57804e+18 6.3963e-21 9.85585e-07 6.07269e+06 0.371102 0 
280 1.58008e+18 6.22434e-21 9.79215e-07 6.22429e+06 0.371499 0 
281 1.58212e+18 6.06451e-21 9.73039e-07 6.37179e+06 0.371891 0 
282 1.58416e+18 5.91517e-21 9.67027e-07 6.51575e+06 0.37228 0 
283 1.58619e+18 5.77577e-21 9.61141e-07 6.65616e+06 0.372664 0 
284 1.58823e+18 5.64284e-21 9.55439e-07 6.79485e+06 0.373044 0 
285 1.59027e+18 5.51611e-21 9.49686e-07 6.93338e+06 0.37342 0 
286 1.59231e+18 5.39603e-21 9.44076e-07 7.06948e+06 0.373793 0 
287 1.59434e+18 5.28197e-21 9.38558e-07 7.20367e+06 0.374161 0 
288 1.59638e+18 5.17351e-21 9.33136e-07 7.33592e+06 0.374526 0 
289 1.59842e+18 5.07006e-21 9.27802e-07 7.46649e+06 0.374887 0 
290 1.60046e+18 4.9711e-21 9.22539e-07 7.59573e+06 0.375245 0 
291 1.60249e+18 4.8761e-21 9.17337e-07 7.72397e+06 0.375599 0 
292 1.60453e+18 4.78477e-21 9.12183e-07 7.85141e+06 0.37595 0 
293 1.60657e+18 4.69692e-21 9.07081e-07 7.97797e+06 0.376297 0 
294 1.60861e+18 4.61237e-21 9.02033e-07 8.10362e+06 0.376641 0 
295 1.61064e+18 4.53097e-21 8.97038e-07 8.22834e+06 0.376982 0 
296 1.61268e+18 4.45255e-21 8.92097e-07 8.35211e+06 0.377319 0 
297 1.61472e+18 4.37696e-21 8.87211e-07 8.4749e+06 0.377653 0 
298 1.61676e+18 4.30407e-21 8.82379e-07 8.5967e+06 0.377983 0 
299 1.61879e+18 4.23375e-21 8.77601e-07 8.7175e+06 0.378311 0 
300 1.62083e+18 4.16584e-21 8.72873e-07 8.83736e+06 0.378635 0 
301 1.62287e+18 4.10005e-21 8.68191e-07 8.95658e+06 0.378957 0 
302 1.62491e+18 4.03621e-21 8.63535e-07 9.07544e+06 0.379275 0 
303 1.62694e+18 3.97427e-21 8.58913e-07 9.19381e+06 0.37959 0 
304 1.62898e+18 3.91412e-21 8.54324e-07 9.31175e+06 0.379902 0 
305 1.63102e+18 3.85565e-21 8.49763e-07 9.42934e+06 0.380211 0 
306 1.63306e+18 3.79883e-21 8.45232e-07 9.54652e+06 0.380517 0 
307 1.63509e+18 3.74359e-21 8.40733e-07 9.66324e+06 0.38082 0 
308 1.63713e+18 3.68989e-21 8.36266e-07 9.77948e+06 0.38112 0 
309 1.63917e+18 3.63768e-21 8.31834e-07 9.89518e+06 0.381417 0 
310 1.64121e+18 3.58692e-21 8.27436e-07 1.00103e+07 0.381711 0 
311 1.64324e+18 3.53754e-21 8.23074e-07 1.01249e+07 0.382003 0 
312 1.64528e+18 3.48951e-21 8.18748e-07 1.02388e+07 0.382291 0 
313 1.64732e+18 3.44278e-21 8.14458e-07 1.03522e+07 0.382577 0 
314 1.64936e+18 3.3973e-21 8.10206e-07 1.04648e+07 0.38286 0 
315 1.65139e+18 3.35304e-21 8.0599e-07 1.05768e+07 0.38314 0 
316 1.65343e+18 3.30993e-21 8.01812e-07 1.06882e+07 0.383417 0 
317 1.65547e+18 3.26791e-21 7.97666e-07 1.0799e+07 0.383692 0 
318 1.65751e+18 3.22694e-21 7.93553e-07 1.09092e+07 0.383964 0 
319 1.65954e+18 3.18699e-21 7.89475e-07 1.10189e+07 0.384233 0 
320 1.66158e+18 3.14803e-21 7.8543e-07 1.11279e+07 0.3845 0 
321 1.66362e+18 3.11003e-21 7.8142e-07 1.12363e+07 0.384764 0 
